,Title,Authors/Co-Authors
1,"`Change detection using multi-scale convolutional
feature maps of bi-temporal satellite highresolution images <https://www.tandfonline.com/doi/pdf/10.1080/22797254.2022.2161419>`_",Rasha Alshehhi
2,`Awesome SOSS: Atmospheric Characterisation of WASP-96 b using the JWST Early Release Observations  <https://academic.oup.com/mnras/advance-article/doi/10.1093/mnras/stad1547/7177537>`_,Jasmina Blecic
3,"`Expanding Mars Climate Modeling: Interpretable Machine Learning for Modeling MSL Relative
Humidity  <https://arxiv.org/pdf/2309.01424.pdf>`_",Dimitra Atri
4,`An Explainable Deep-learning Model of Proton Auroras on Mars  <https://arxiv.org/pdf/2309.08195.pdf>`_,Dimitra Atri
5,`NIHAO-GIZMO: A Comparison of Simulated Disc Galaxies from GASOLINE and GIZMO  <https://arxiv.org/pdf/2310.13069.pdf>`_,"	
Andrea V. Macciò"
6,":download:`Dual Theory of Decaying Turbulence. 2.
Numerical Simulation and Continuum
Limit  </hpc/docs/paper-DualTheoryOfDecayingTurbulence.pdf>`", Alexander Migdal
